Ahmet,Öztürk,202006122,4.0,4,9,2,K
Fatma,Aydın,202009493,4.0,4,51,2,E
Fatma,Yılmaz,202000852,4.0,4,27,1,E
Elif,Çelik,202001609,4.0,4,12,1,K
Mehmet,Demir,202005180,4.0,4,87,4,K
Ayşe,Demir,202006166,3.99,4,12,1,E
Ahmet,Kaya,202007850,3.99,4,62,4,K
Ali,Çelik,202008516,3.99,4,47,2,E
Elif,Şahin,202001574,3.99,4,42,3,K
Ahmet,Yılmaz,202002887,3.99,4,25,3,K
Mehmet,Çelik,202003450,3.99,4,63,2,E
Ayşe,Şahin,202005957,3.98,4,68,4,K
Zeynep,Demir,202006412,3.98,4,87,2,K
Mehmet,Şahin,202007806,3.98,4,39,4,E
Fatma,Yıldız,202004850,3.98,4,80,4,E
Ali,Demir,202009891,3.97,4,60,4,K
Zeynep,Çelik,202000023,3.97,4,78,4,K
Mehmet,Çelik,202001614,3.97,4,6,1,K
Elif,Demir,202003821,3.97,4,71,3,K
Ali,Çelik,202004223,3.97,4,33,4,K
Ayşe,Aydın,202005101,3.97,4,9,3,E
Fatma,Demir,202006933,3.96,4,4,4,E
Mehmet,Yıldız,202007163,3.96,4,36,3,K
Ayşe,Çelik,202007456,3.96,4,36,4,E
Ahmet,Şahin,202008283,3.96,4,100,4,E
Ali,Çelik,202009299,3.96,4,60,1,K
Fatma,Demir,202009702,3.96,4,55,2,K
Mehmet,Demir,202000775,3.96,4,36,2,E
Emre,Şahin,202001298,3.96,4,70,2,E
Ahmet,Kaya,202001355,3.96,4,58,2,E
Ayşe,Şahin,202003772,3.96,4,18,3,K
Ayşe,Aydın,202004206,3.96,4,86,3,E
Ayşe,Şahin,202005860,3.95,4,69,2,E
Ayşe,Öztürk,202005898,3.95,4,22,3,E
Elif,Demir,202006399,3.95,4,86,3,E
Ayşe,Demir,202006712,3.95,4,69,3,K
Zeynep,Öztürk,202007037,3.95,4,44,1,E
Emre,Yılmaz,202008653,3.95,4,17,4,K
Ahmet,Şahin,202008958,3.95,4,92,3,E
Ali,Aydın,202002380,3.95,4,95,2,K
Mehmet,Öztürk,202002654,3.95,4,41,1,E
Ahmet,Kaya,202003265,3.95,4,60,3,E
Ayşe,Aydın,202005843,3.94,4,99,4,K
Emre,Yılmaz,202009657,3.94,4,91,3,K
Ayşe,Demir,202001289,3.94,4,34,4,K
Ahmet,Kaya,202001588,3.94,4,91,4,E
Elif,Şahin,202002686,3.94,4,16,2,E
Elif,Aydın,202003701,3.94,4,98,4,K
Emre,Kaya,202004035,3.94,4,36,3,K
Ali,Yılmaz,202006682,3.93,4,95,2,E
Ayşe,Kaya,202008193,3.93,4,64,2,E
Ayşe,Demir,202009116,3.93,4,41,3,E
Zeynep,Çelik,202001832,3.93,4,15,1,E
Emre,Aydın,202002175,3.93,4,97,4,K
Elif,Yılmaz,202002337,3.93,4,29,4,E
Ayşe,Şahin,202002608,3.93,4,55,1,K
Ayşe,Öztürk,202003084,3.93,4,5,4,K
Ahmet,Öztürk,202003175,3.93,4,62,4,E
Fatma,Yılmaz,202005870,3.92,4,33,2,E
Ahmet,Öztürk,202006950,3.92,4,86,1,E
Zeynep,Şahin,202009633,3.92,4,31,3,K
Ayşe,Kaya,202001625,3.92,4,69,2,K
Ahmet,Aydın,202002297,3.92,4,45,2,E
Zeynep,Öztürk,202002510,3.92,4,53,2,E
Ayşe,Yılmaz,202003941,3.92,4,42,4,K
Emre,Aydın,202004743,3.92,4,29,4,K
Mehmet,Kaya,202005656,3.92,4,72,1,E
Emre,Öztürk,202005786,3.91,4,90,4,E
Mehmet,Çelik,202006615,3.91,4,16,1,K
Ali,Aydın,202006683,3.91,4,65,2,K
Ayşe,Yılmaz,202002166,3.91,4,39,4,E
Fatma,Yıldız,202002296,3.91,4,82,2,K
Emre,Yıldız,202004213,3.91,4,1,4,K
Emre,Aydın,202004779,3.91,4,21,3,K
Elif,Öztürk,202005644,3.91,4,18,4,E
Emre,Aydın,202009602,3.9,4,47,1,K
Ali,Yılmaz,202000354,3.9,4,71,3,K
Fatma,Kaya,202000978,3.9,4,26,4,K
Ali,Yıldız,202002277,3.9,4,77,4,K
Mehmet,Kaya,202004454,3.9,4,8,4,K
Elif,Aydın,202004724,3.9,4,85,2,K
Emre,Çelik,202005093,3.9,4,76,4,K
Fatma,Çelik,202005709,3.9,4,46,2,E
Zeynep,Şahin,202006513,3.89,4,66,2,E
Ahmet,Kaya,202006577,3.89,4,23,4,E
Elif,Şahin,202008322,3.89,4,5,2,K
Mehmet,Yıldız,202002814,3.89,4,69,1,E
Zeynep,Öztürk,202003346,3.89,4,43,4,K
Elif,Kaya,202003614,3.89,4,25,1,K
Ali,Öztürk,202006498,3.88,4,17,1,K
Mehmet,Şahin,202008464,3.88,4,27,1,K
Emre,Yılmaz,202008505,3.88,4,33,3,E
Emre,Kaya,202009413,3.88,4,95,1,K
Zeynep,Kaya,202009791,3.88,4,89,1,K
Ahmet,Öztürk,202005316,3.88,4,87,3,E
Emre,Şahin,202005654,3.88,4,88,1,K
Elif,Yılmaz,202005705,3.88,4,35,2,E
Ahmet,Demir,202006263,3.87,4,79,2,E
Ali,Çelik,202006939,3.87,4,78,2,E
Elif,Yıldız,202007172,3.87,4,28,4,K
Zeynep,Aydın,202009895,3.87,4,14,4,K
Emre,Yıldız,202000940,3.87,4,88,2,E
Fatma,Kaya,202001644,3.87,4,53,3,E
Zeynep,Aydın,202003134,3.87,4,90,3,E
Ayşe,Çelik,202003679,3.87,4,34,3,E
Emre,Çelik,202003723,3.87,4,62,4,E
Elif,Kaya,202007905,3.86,4,9,4,K
Ali,Şahin,202007999,3.86,4,24,3,K
Zeynep,Şahin,202002516,3.86,4,90,4,K
Ahmet,Aydın,202005637,3.86,4,59,2,K
Fatma,Aydın,202009363,3.85,4,50,4,K
Fatma,Şahin,202000063,3.85,4,81,3,E
Fatma,Aydın,202000310,3.85,4,59,2,K
Zeynep,Kaya,202001709,3.85,4,94,4,K
Zeynep,Demir,202004503,3.85,4,52,1,E
Ahmet,Çelik,202005959,3.84,4,75,2,K
Mehmet,Şahin,202007558,3.84,4,49,2,K
Ali,Aydın,202000004,3.84,4,25,2,E
Ayşe,Öztürk,202000711,3.84,4,96,4,E
Elif,Demir,202004442,3.84,4,57,2,E
Ali,Kaya,202004657,3.84,4,59,1,E
Ali,Yılmaz,202008113,3.83,4,39,2,K
Elif,Kaya,202008225,3.83,4,29,2,E
Elif,Kaya,202008948,3.83,4,72,2,K
Mehmet,Öztürk,202009725,3.83,4,35,4,K
Emre,Öztürk,202001245,3.83,4,43,3,K
Emre,Yılmaz,202004430,3.83,4,68,2,K
Ahmet,Aydın,202004490,3.83,4,92,2,K
Ayşe,Öztürk,202004966,3.83,4,82,4,K
Emre,Demir,202005491,3.83,4,4,4,K
Ayşe,Çelik,202006003,3.82,4,89,2,E
Ayşe,Kaya,202008191,3.82,4,23,4,E
Ayşe,Aydın,202008340,3.82,4,52,3,E
Fatma,Yıldız,202009324,3.82,4,66,2,K
Zeynep,Aydın,202003639,3.82,4,92,1,E
Emre,Aydın,202005285,3.82,4,17,4,K
Emre,Şahin,202006214,3.81,4,63,2,K
Ayşe,Yılmaz,202006296,3.81,4,1,3,E
Fatma,Öztürk,202006446,3.81,4,28,4,K
Emre,Şahin,202007562,3.81,4,92,3,E
Ayşe,Kaya,202008630,3.81,4,90,2,E
Mehmet,Demir,202000997,3.81,4,25,1,E
Ayşe,Demir,202001546,3.81,4,63,4,K
Elif,Şahin,202003532,3.81,4,43,1,K
Ahmet,Aydın,202003967,3.81,4,6,1,E
Mehmet,Yılmaz,202004348,3.81,4,44,4,E
Ahmet,Demir,202004935,3.81,4,98,1,E
Emre,Öztürk,202005425,3.81,4,53,3,K
